Date,MKT,SMB,HML,RMW,CMA,Momentum,XingQuan,YinHe,JiaoYin,MKT_C,SMB_C,HML_C,RMW_C,CMA_C,Momentum_C,XingQuan_C,YinHe_C,JiaoYin_C
13-Jun,-13.6771,-2.3015,-5.6664,2.2155,-0.6476,-11.09,-6.2,-6.734,-7.82,-6.2573,1.8712,-13.9425,-0.6218,-2.3267,-3.72,3.71,4.6684,5.42
13-Jul,2.5104,3.0171,-2.7138,1.1632,1.4573,-1.46,3.06,8.975,6.34,-11.1667,0.7156,-8.3802,3.3787,0.8097,-12.55,-3.14,2.241,-1.48
13-Aug,5.042,4.1792,2.9932,-3.0364,1.5856,0.87,2.33,1.5062,1.74,7.5524,7.1963,0.2794,-1.8732,3.0429,-0.59,5.39,10.4812,8.08
13-Sep,3.9533,-0.0148,-1.4258,-1.5514,1.5866,1.84,6.34,9.1949,3.52,8.9953,4.1644,1.5674,-4.5878,3.1722,2.71,8.67,10.7011,5.26
13-Oct,-2.2048,0.0872,3.9498,-0.0026,1.3989,-7.36,0.32,-6.4619,-6.53,1.7485,0.0724,2.524,-1.554,2.9855,-5.52,6.66,2.733,-3.01
13-Nov,4.149,3.0432,-1.5549,-1.9875,0.0148,4,4.26,7.256,9.13,1.9442,3.1304,2.3949,-1.9901,1.4137,-3.36,4.58,0.7941,2.6
13-Dec,-4.3698,1.2019,0.3212,2.001,-0.8919,-2.24,-1.14,-2.6585,-1.54,-0.2208,4.2451,-1.2337,0.0135,-0.8771,1.76,3.12,4.5975,7.59
14-Jan,-2.649,4.6047,-3.1435,0.2033,-1.0547,-2.74,1.16,6.306,2.17,-7.0188,5.8066,-2.8223,2.2043,-1.9466,-4.98,0.02,3.6475,0.63
14-Feb,0.9665,3.1897,-0.2659,-2.8971,1.9944,2.59,3.89,-1.1766,1.02,-1.6825,7.7944,-3.4094,-2.6938,0.9397,-0.15,5.05,5.1294,3.19
14-Mar,-2.1751,0.149,3.3759,-0.4898,1.725,-7.92,-3.1,-7.3975,-3.11,-1.2086,3.3387,3.11,-3.3869,3.7194,-5.33,0.79,-8.5741,-2.09
14-Apr,-0.8267,-0.8224,-0.0731,2.1241,-0.4765,1.62,1.46,-3.2182,-1.21,-3.0018,-0.6734,3.3028,1.6343,1.2485,-6.3,-1.64,-10.6157,-4.32
14-May,1.1574,0.1903,-3.2175,-4.5385,-0.0648,-0.86,-0.38,1.2106,-0.79,0.3307,-0.6321,-3.2906,-2.4144,-0.5413,0.76,1.08,-2.0076,-2
14-Jun,2.3177,1.4738,-4.9284,-2.1122,0.2263,2.36,4.63,4.0621,4.07,3.4751,1.6641,-8.1459,-6.6507,0.1615,1.5,4.25,5.2727,3.28
14-Jul,8.1664,0.2294,4.686,-1.8586,2.3094,5.9,4.78,0.0672,3.74,10.4841,1.7032,-0.2424,-3.9708,2.5357,8.26,9.41,4.1293,7.81
14-Aug,1.5037,3.2738,-2.0844,-2.8375,-0.1728,1.28,2.95,2.8642,4.51,9.6701,3.5032,2.6016,-4.6961,2.1366,7.18,7.73,2.9314,8.25
14-Sep,7.6973,6.7153,-0.8223,-4.1516,2.1517,4.14,4.95,7.6354,6.9,9.201,9.9891,-2.9067,-6.9891,1.9789,5.42,7.9,10.4996,11.41
14-Oct,1.9742,0.5833,2.0999,-0.7619,0.769,0.3,-0.94,-1.4686,-0.15,9.6715,7.2986,1.2776,-4.9135,2.9207,4.44,4.01,6.1668,6.75
14-Nov,9.1233,-1.3934,5.1013,-0.3974,1.7105,0.5,3.86,9.6882,0.15,11.0975,-0.8101,7.2012,-1.1593,2.4795,0.8,2.92,8.2196,0
14-Dec,14.9354,-16.6032,18.2961,5.6603,2.6944,8.12,10.26,0.0873,-3.52,24.0587,-17.9966,23.3974,5.2629,4.4049,8.62,14.12,9.7755,-3.37
15-Jan,1.0355,2.9708,-7.5838,-0.087,-3.2571,0.98,1.8,7.6976,13.31,15.9709,-13.6324,10.7123,5.5733,-0.5627,9.1,12.06,7.7849,9.79
15-Feb,4.2797,2.7297,-5.3225,-1.3489,-1.7522,6.56,7.81,11.3803,7.92,5.3152,5.7005,-12.9063,-1.4359,-5.0093,7.54,9.61,19.0779,21.23
15-Mar,15.1747,8.0211,-4.4398,-3.069,-1.7623,5.5,15.24,18.6647,16.6,19.4544,10.7508,-9.7623,-4.4179,-3.5145,12.06,23.05,30.045,24.52
15-Apr,17.78,-0.8126,3.655,-1.1926,5.9538,8.48,11.42,14.5345,12.64,32.9547,7.2085,-0.7848,-4.2616,4.1915,13.98,26.66,33.1992,29.24
