firm_code,year,TFP,Data,Industry,SOE,Incentive_F,Incentive_M,Senior_Edu,CEO_Edu,Ln_Age
117043025,2017,2.1188293,0.44444445,"Computer, communications and other electronic equipment",0,0.5,0.54166669,14.25,1,2.6390574
117043026,2017,2.1874084,0.59722221,"Computer, communications and other electronic equipment",0,0.35416669,0.45833334,12,1,3.0445225
117043028,2017,1.4763768,0.56944442,General equipment manufacturing industry,0,0.66666669,0.8125,14,0,2.8332133
117043030,2017,2.8598304,0.47222221,Electrical machinery and equipment,0,0.41666669,0.41666669,15,0,1.9459101
117043033,2017,3.7049484,0.47222221,General equipment manufacturing industry,0,0.41666669,0.66666669,16,1,3.1354942
117043036,2017,0.64261848,0.52777779,Electrical machinery and equipment,0,0.3125,0.52083331,13,1,2.7080503
117043037,2017,-1.3315779,0.3611111,"Leather, fur, feathers and footwear industry",0,0.8125,1,11,1,2.3025851
117043038,2017,0.9372834,0.375,Metal product industry,0,,,12,0,2.6390574
117043043,2017,1.1753944,0.37152779,"Education, art, sport and entertainment product",0,,0.60416669,8,1,2.4849067
117043044,2017,0.9165011,0.45833334,Special equipment manufacturing industry,0,0.3125,0.41666669,15.666667,1,2.1972246
117043046,2017,3.154918,0.50694442,"Education, art, sport and entertainment product",0,0.5625,0.60416669,14.666667,1,3.2580965
117043049,2017,,0.44444445,Textile Industry,0,0.45833334,0.45833334,,0,2.7725887
117043050,2017,-0.18077934,0.62152779,Clothing ,0,0.66666669,0.8125,15,1,3.1780539
117043051,2017,2.0601704,0.4861111,Electrical machinery and equipment,0,0.5,0.6875,14,1,2.7080503
117043052,2017,,0.40625,Electrical machinery and equipment,0,0.5625,0.6875,,0,1.7917595
117043053,2017,-0.38074917,0.23958334,"Education, art, sport and entertainment product",0,0.54166669,0.60416669,11,0,1.6094379
117043055,2017,,,"Leather, fur, feathers and footwear industry",0,,,,1,2.7080503
117043056,2017,1.4708714,0.3576389,Chemical industry,0,0.22916667,0.60416669,9,0,2.0794415
117043058,2017,-0.80191106,0.69444442,Metal product industry,0,,,12,1,0.69314718
117043059,2017,,0.31597221,Metal product industry,0,,0.60416669,,0,1.0986123
117043061,2017,2.8938491,0.77777779,General equipment manufacturing industry,0,,1,16,1,1.0986123
117043062,2017,0.80747384,0.5,Rubber and plastic products industry,0,0.39583334,0.45833334,13.5,1,1.9459101
118044002,2017,-0.046229657,0.45833334,Clothing ,1,0.5625,0.5625,14,0,2.5649493
118044004,2017,-0.11057847,0.75694442,Nonmetallic mineral products industry,0,0.66666669,0.41666669,9,1,3.3322046
118044006,2017,-1.4609877,0.40277779,Nonmetallic mineral products industry,0,0.29166669,0.29166669,,0,2.4849067
118044007,2017,0.054051563,0.39930555,"Leather, fur, feathers and footwear industry",1,,,,0,2.1972246
118044012,2017,-0.18829983,0.5,Nonferrous metal industry,0,,0.625,,0,2.4849067
118044013,2017,0.43474111,0.65277779,Nonmetallic mineral products industry,0,,0.58333331,12,0,2.9957323
118044015,2017,-0.48427802,0.35416666,Farm and sideline food processing,0,,,9,1,2.3978953
118044016,2017,,0.37152779,Nonmetallic mineral products industry,0,,,9,0,2.7080503
118044021,2017,1.0082332,0.45833334,Nonmetallic mineral products industry,0,0.60416669,,9,0,2.4849067
118044023,2017,,0.66666669,Nonmetallic mineral products industry,0,0.47916669,0.47916669,13,0,2.6390574
118044024,2017,0.1765039,0.56944442,Clothing ,0,0.47916669,0.35416669,15,1,1.3862944
118044027,2017,,0.048611112,"Education, art, sport and entertainment product",0,,,,0,3.3322046
118044028,2017,,0.30555555,Clothing ,1,0.375,0.25,15,0,2.4849067
118044029,2017,2.0667155,0.069444448,Clothing ,0,0.25,,12,0,2.0794415
118044031,2017,1.1670783,0.43402779,Wood processing and wood product industry,0,0.72916669,0.79166669,9,1,2.6390574
118044033,2017,1.2396929,0.69444442,Special equipment manufacturing industry,0,0.54166669,0.54166669,15.5,1,2.7080503
118044037,2017,-0.088278033,0.50694442,Electrical machinery and equipment,0,0.29166669,0.54166669,10.5,0,2.4849067
118044038,2017,0.17896876,0.40277779,Automobile manufacturing industry,0,,,,0,3.0445225
118044040,2017,1.2193315,0.3298611,Clothing ,0,0.6875,0.6875,15,1,2.6390574
118044046,2017,-1.3331292,0.65277779,"Leather, fur, feathers and footwear industry",0,0.375,0.5625,,0,2.8332133
118044049,2017,-2.6332157,0.44444445,Nonmetallic mineral products industry,0,,0.5,,0,3.0910425
118044053,2017,-0.71182978,0.24305555,Paper and paper product industry,0,0.375,0.20833334,9,0,2.0794415
118044055,2017,-3.2226224,0.5,Farm and sideline food processing,0,0.1875,0.41666669,,0,0.69314718
119045001,2017,2.4197767,0.83333331,Furniture manufacturing,0,0.6875,0.5625,7.5,1,2.6390574
119045002,2017,-0.56711954,0.47569445,Ferrous metal industry,0,0.41666669,0.72916669,12,0,1.7917595
119045003,2017,1.4770432,0.59375,Clothing ,0,0.75,0.6875,,0,3.2580965
119045004,2017,0.73327458,0.6076389,Nonmetallic mineral products industry,0,0.75,0.6875,,0,2.4849067
119045009,2017,2.3273156,0.46875,Pharmaceutical industry,0,0.75,0.4375,15,0,2.8903718
119045012,2017,3.1896431,0.4513889,Food manufacturing,0,0.875,0.8125,13.5,0,2.4849067
119045017,2017,-0.2064127,0.4548611,"Education, art, sport and entertainment product",0,0.4375,0.25,10.5,0,2.0794415
119045018,2017,-2.7872059,0.39930555,"Leather, fur, feathers and footwear industry",0,0.625,0.4375,12,1,2.8332133
119045025,2017,0.67085642,0.61458331,Chemical industry,0,0.3125,0.60416669,,1,2.7725887
119045027,2017,0.97533566,0.7638889,Rubber and plastic products industry,0,0.75,0.4375,15.333333,1,2.7725887
119045050,2017,1.2854443,0.80555558,Farm and sideline food processing,0,0.75,0.4375,15.5,0,2.9444389
119045051,2017,-0.3023015,0.4548611,Food manufacturing,0,0.4375,0.375,12,0,3.2580965
119045052,2017,1.3704673,0.75,Paper and paper product industry,0,0.5,0.4375,,0,2.8332133
119045053,2017,-1.3635206,0.4201389,Textile Industry,0,0.5,0.4375,12,1,0.69314718
119045056,2017,0.76118928,0.6388889,Food manufacturing,0,0.39583334,0.45833334,,0,1.3862944
119045057,2017,-1.0846292,0.44791666,Textile Industry,0,0.4375,0.25,15,0,0.69314718
119045058,2017,0.71793902,0.2986111,Textile Industry,0,,0.4375,,0,1.0986123
121046002,2017,1.72938,0.44444445,"Leather, fur, feathers and footwear industry",0,0.5625,0.6875,12,1,3.2580965
121046003,2017,2.1155763,0.4861111,"Leather, fur, feathers and footwear industry",0,0.75,0.75,12,0,1.7917595
121046007,2017,0.43137985,0.41319445,"Leather, fur, feathers and footwear industry",0,,,0,1,2.9444389
121046009,2017,2.091598,0.55902779,Textile Industry,0,0.66666669,0.60416669,,1,2.0794415
121046012,2017,0.45477214,0.47569445,"Leather, fur, feathers and footwear industry",0,0.35416669,0.29166669,4.5,1,2.4849067
121046013,2017,1.7353255,0.31944445,Furniture manufacturing,0,1,0.9375,10.5,1,2.7080503
121046015,2017,,,Electrical machinery and equipment,0,,,,1,2.0794415
121046017,2017,0.64881808,0.60416669,"Leather, fur, feathers and footwear industry",0,0.6875,0.6875,10.5,1,3.2188759
121046023,2017,0.13448332,0.49305555,"Computer, communications and other electronic equipment",0,0.54166669,0.60416669,12,0,1.0986123
