Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,141.000000,146.660004,138.880005,141.750000,141.750000,41393028
2023-08-08,141.750000,144.429993,134.500000,134.509995,134.509995,30327642
2023-08-09,134.179993,136.149994,126.610001,126.839996,126.839996,41735228
2023-08-10,124.059998,127.190002,122.010002,124.010002,124.010002,31411636
2023-08-11,125.430000,127.139999,121.980003,121.980003,121.980003,20952826
2023-08-14,122.699997,123.519997,120.309998,123.519997,123.519997,29986274
2023-08-15,129.000000,129.880005,121.010002,121.900002,121.900002,42534771
2023-08-16,120.019997,123.300003,118.110001,121.010002,121.010002,31383104
2023-08-17,118.800003,124.199997,117.180000,122.250000,122.250000,32016439
2023-08-18,121.500000,122.500000,115.510002,115.510002,115.510002,31517411
2023-08-21,116.330002,120.550003,115.300003,117.870003,117.870003,25505247
2023-08-22,122.099998,126.550003,118.150002,126.000000,126.000000,46500629
2023-08-23,123.480003,123.489998,118.099998,119.000000,119.000000,28635712
2023-08-24,124.000000,126.000000,119.330002,121.000000,121.000000,40958448
2023-08-25,113.330002,115.139999,106.010002,106.949997,106.949997,58082049
2023-08-28,114.000000,116.059998,110.099998,111.500000,111.500000,48768924
2023-08-29,113.000000,121.000000,109.529999,115.190002,115.190002,43949088
2023-08-30,116.099998,119.589996,113.379997,116.000000,116.000000,31384264
2023-08-31,114.000000,116.339996,113.750000,114.620003,114.620003,19311098
2023-09-01,113.900002,115.290001,110.849998,112.150002,112.150002,20995857
2023-09-04,112.959999,113.480003,110.750000,112.349998,112.349998,16571872
2023-09-05,111.900002,111.900002,108.120003,109.010002,109.010002,21438303
2023-09-06,109.120003,110.949997,106.800003,109.699997,109.699997,19848040
2023-09-07,109.099998,110.750000,106.110001,106.309998,106.309998,23929561
2023-09-08,103.570000,107.199997,102.000000,105.250000,105.250000,28788555
2023-09-11,106.250000,112.989998,104.519997,109.199997,109.199997,37972244
2023-09-12,108.080002,111.879997,107.550003,109.919998,109.919998,24478655
2023-09-13,109.449997,110.900002,105.360001,106.669998,106.669998,18058937
2023-09-14,107.169998,108.309998,102.500000,102.650002,102.650002,24630602
2023-09-15,103.389999,104.160004,97.410004,98.680000,98.680000,36380931
2023-09-18,99.000000,99.589996,94.720001,95.500000,95.500000,29694648
2023-09-19,96.400002,99.260002,93.690002,96.500000,96.500000,26524362
2023-09-20,96.489998,100.900002,96.000000,97.150002,97.150002,27546975
2023-09-21,96.500000,100.320000,96.209999,97.370003,97.370003,23977637
2023-09-22,97.970001,112.919998,97.500000,111.080002,111.080002,64761080
2023-09-25,111.080002,111.900002,106.800003,107.500000,107.500000,41038932
2023-09-26,109.949997,115.769997,109.300003,111.800003,111.800003,44213329
2023-09-27,111.250000,116.199997,111.250000,114.070000,114.070000,27608180
2023-09-28,117.879997,119.330002,114.019997,115.800003,115.800003,30639080
2023-10-09,115.430000,116.980003,107.510002,111.059998,111.059998,44249393
2023-10-10,110.370003,112.720001,107.980003,109.449997,109.449997,25541230
2023-10-11,110.550003,113.769997,107.660004,109.730003,109.730003,25465543
2023-10-12,111.000000,111.419998,105.629997,106.669998,106.669998,21826595
2023-10-13,105.800003,106.370003,100.900002,102.370003,102.370003,29490560
2023-10-16,101.349998,102.779999,99.379997,100.010002,100.010002,22284027
2023-10-17,101.120003,103.500000,97.879997,100.559998,100.559998,23803860
2023-10-18,96.610001,98.110001,93.220001,97.449997,97.449997,34566383
2023-10-19,96.769997,97.510002,94.230003,94.639999,94.639999,22135469
2023-10-20,96.980003,97.169998,93.760002,94.070000,94.070000,25065479
2023-10-23,97.169998,99.160004,93.699997,96.099998,96.099998,39084954
